Timestamp,EssayIndex,HumanScore,multi_ex_PredictedScore,multi_ex_err,multi_ex_PromptTokens,multi_ex_CompletionTokens,multi_ex_TotalTokens,multi_ex_Latency,multi_ex_EstimatedCost,multi_noex_PredictedScore,multi_noex_err,multi_noex_PromptTokens,multi_noex_CompletionTokens,multi_noex_TotalTokens,multi_noex_Latency,multi_noex_EstimatedCost,single_noex_PredictedScore,single_noex_err,single_noex_PromptTokens,single_noex_CompletionTokens,single_noex_TotalTokens,single_noex_Latency,single_noex_EstimatedCost,single_ex_PredictedScore,single_ex_err,single_ex_PromptTokens,single_ex_CompletionTokens,single_ex_TotalTokens,single_ex_Latency,single_ex_EstimatedCost,Essay_Agg_PromptTokens,Essay_Agg_CompletionTokens,Essay_Agg_TotalTokens,Essay_Agg_TotalLatency,Essay_Agg_EstimatedCost
2025-05-20T01:26:49.126635,7,6.5,4.5,2.0000,7295,12,7307,2.2828,0.00110145,4.0,2.5000,2071,12,2083,2.0667,0.00031785,4.0,2.5000,543,3,546,0.4354,0.00008325,4.5,2.0000,1913,3,1916,0.5827,0.00028875,11822,30,11852,5.3677,0.00179130
2025-05-20T01:26:49.567648,25,6.0,6.0,0.0000,7431,12,7443,2.3186,0.00112185,5.0,1.0000,2207,12,2219,2.2128,0.00033825,5.0,1.0000,577,3,580,0.7072,0.00008835,6.0,0.0000,1947,3,1950,0.5701,0.00029385,12162,30,12192,5.8087,0.00184230
2025-05-20T01:26:49.575832,41,7.5,6.0,1.5000,7719,12,7731,2.8549,0.00116505,5.5,2.0000,2495,12,2507,1.9602,0.00038145,6.0,1.5000,649,3,652,0.5400,0.00009915,6.0,1.5000,2019,3,2022,0.4610,0.00030465,12882,30,12912,5.8160,0.00195030
2025-05-20T01:26:49.634326,15,8.0,7.0,1.0000,7143,12,7155,2.8761,0.00107865,6.0,2.0000,1919,12,1931,1.9750,0.00029505,6.0,2.0000,505,3,508,0.5317,0.00007755,6.5,1.5000,1875,3,1878,0.4927,0.00028305,11442,30,11472,5.8755,0.00173430
2025-05-20T01:26:49.670343,34,6.0,4.5,1.5000,7143,12,7155,2.8928,0.00107865,4.0,2.0000,1919,12,1931,2.0780,0.00029505,4.0,2.0000,505,3,508,0.4166,0.00007755,4.5,1.5000,1875,3,1878,0.5234,0.00028305,11442,30,11472,5.9108,0.00173430
2025-05-20T01:26:49.676451,0,6.5,6.0,0.5000,7115,12,7127,2.6758,0.00107445,5.0,1.5000,1891,12,1903,2.1186,0.00029085,6.0,0.5000,498,3,501,0.5337,0.00007650,5.5,1.0000,1868,3,1871,0.5905,0.00028200,11372,30,11402,5.9186,0.00172380
2025-05-20T01:26:49.688600,32,3.5,3.0,0.5000,6567,12,6579,2.6525,0.00099225,2.5,1.0000,1343,12,1355,2.1823,0.00020865,3.0,0.5000,361,3,364,0.6034,0.00005595,3.0,0.5000,1731,3,1734,0.4875,0.00026145,10002,30,10032,5.9256,0.00151830
2025-05-20T01:26:49.724354,24,9.0,6.5,2.5000,7455,12,7467,2.6672,0.00112545,6.0,3.0000,2231,12,2243,2.1524,0.00034185,6.0,3.0000,583,3,586,0.5801,0.00008925,6.0,3.0000,1953,3,1956,0.5655,0.00029475,12222,30,12252,5.9651,0.00185130
2025-05-20T01:26:49.760566,6,6.0,6.0,0.0000,7091,12,7103,2.5622,0.00107085,5.0,1.0000,1867,12,1879,2.2843,0.00028725,5.0,1.0000,492,3,495,0.5602,0.00007560,6.0,0.0000,1862,3,1865,0.5949,0.00028110,11312,30,11342,6.0016,0.00171480
2025-05-20T01:26:49.814884,42,7.0,4.0,3.0000,7071,12,7083,2.8391,0.00106785,4.0,3.0000,1847,12,1859,2.2186,0.00028425,4.0,3.0000,487,3,490,0.4432,0.00007485,4.5,2.5000,1857,3,1860,0.5523,0.00028035,11262,30,11292,6.0531,0.00170730
