Timestamp,EssayIndex,HumanScore,multi_ex_PredictedScore,multi_ex_err,multi_ex_PromptTokens,multi_ex_CompletionTokens,multi_ex_TotalTokens,multi_ex_Latency,multi_ex_EstimatedCost,multi_noex_PredictedScore,multi_noex_err,multi_noex_PromptTokens,multi_noex_CompletionTokens,multi_noex_TotalTokens,multi_noex_Latency,multi_noex_EstimatedCost,single_noex_PredictedScore,single_noex_err,single_noex_PromptTokens,single_noex_CompletionTokens,single_noex_TotalTokens,single_noex_Latency,single_noex_EstimatedCost,single_ex_PredictedScore,single_ex_err,single_ex_PromptTokens,single_ex_CompletionTokens,single_ex_TotalTokens,single_ex_Latency,single_ex_EstimatedCost,Essay_Agg_PromptTokens,Essay_Agg_CompletionTokens,Essay_Agg_TotalTokens,Essay_Agg_TotalLatency,Essay_Agg_EstimatedCost
2025-05-20T01:30:34.386676,64,6.0,6.0,0.0000,7450,16,7466,2.1018,0.00000000,4.5,1.5000,2300,14,2314,1.4361,0.00000000,5.0,1.0000,608,4,612,0.4516,0.00000000,6.0,0.0000,1946,4,1950,0.5165,0.00000000,12304,38,12342,4.5059,0.00000000
2025-05-20T01:30:34.964868,20,5.5,6.0,0.5000,7124,16,7140,1.9302,0.00000000,5.0,0.5000,1984,16,2000,2.4026,0.00000000,5.5,0.0000,524,4,528,0.3729,0.00000000,6.0,0.5000,1871,4,1875,0.3790,0.00000000,11503,40,11543,5.0847,0.00000000
2025-05-20T01:30:35.109235,49,6.5,6.0,0.5000,7102,16,7118,2.4610,0.00000000,5.5,1.0000,1964,16,1980,1.6711,0.00000000,6.0,0.5000,518,4,522,0.6749,0.00000000,6.0,0.5000,1865,4,1869,0.4215,0.00000000,11449,40,11489,5.2286,0.00000000
2025-05-20T01:30:35.246725,16,5.0,5.5,0.5000,7094,16,7110,2.4081,0.00000000,5.0,0.0000,1948,16,1964,1.9227,0.00000000,5.0,0.0000,515,4,519,0.4112,0.00000000,6.0,1.0000,1862,4,1866,0.6235,0.00000000,11419,40,11459,5.3655,0.00000000
2025-05-20T01:30:35.480317,35,5.5,6.0,0.5000,7254,16,7270,2.8145,0.00000000,5.0,0.5000,2109,16,2125,1.8251,0.00000000,5.5,0.0000,558,4,562,0.5165,0.00000000,6.0,0.5000,1903,4,1907,0.4439,0.00000000,11824,40,11864,5.5999,0.00000000
2025-05-20T01:30:35.862031,56,7.0,6.0,1.0000,7860,16,7876,2.7296,0.00000000,5.5,1.5000,2724,16,2740,2.4650,0.00000000,6.0,1.0000,708,4,712,0.2239,0.00000000,6.5,0.5000,2055,4,2059,0.5626,0.00000000,13347,40,13387,5.9811,0.00000000
2025-05-20T01:30:35.956312,8,8.5,6.5,2.0000,7420,16,7436,2.9342,0.00000000,6.0,2.5000,2270,16,2286,1.8561,0.00000000,6.0,2.5000,597,4,601,0.5888,0.00000000,6.5,2.0000,1944,4,1948,0.6967,0.00000000,12231,40,12271,6.0757,0.00000000
2025-05-20T01:30:35.956998,72,5.5,5.0,0.5000,7110,16,7126,2.2849,0.00000000,5.0,0.5000,1965,16,1981,1.9455,0.00000000,5.5,0.0000,520,4,524,0.6340,0.00000000,5.5,0.0000,1867,4,1871,1.2116,0.00000000,11462,40,11502,6.0761,0.00000000
2025-05-20T01:30:35.976437,33,5.0,5.0,0.0000,7090,16,7106,4.0193,0.00000000,4.5,0.5000,1947,15,1962,1.5668,0.00000000,5.0,0.0000,518,4,522,0.2450,0.00000000,5.0,0.0000,1865,4,1869,0.2649,0.00000000,11420,39,11459,6.0959,0.00000000
2025-05-20T01:30:36.182389,36,7.0,5.5,1.5000,7094,16,7110,3.4646,0.00000000,5.0,2.0000,1952,16,1968,1.6066,0.00000000,5.0,2.0000,516,4,520,0.3703,0.00000000,6.0,1.0000,1863,4,1867,0.8606,0.00000000,11425,40,11465,6.3021,0.00000000
2025-05-20T01:30:36.251843,27,5.5,7.0,1.5000,7240,16,7256,2.7003,0.00000000,5.5,0.0000,2097,16,2113,2.0146,0.00000000,6.0,0.5000,553,4,557,0.3810,0.00000000,6.5,1.0000,1900,4,1904,1.2755,0.00000000,11790,40,11830,6.3714,0.00000000
2025-05-20T01:30:36.329762,10,6.5,5.5,1.0000,7004,16,7020,2.9537,0.00000000,5.0,1.5000,1872,16,1888,2.0817,0.00000000,5.0,1.5000,496,4,500,0.9343,0.00000000,6.0,0.5000,1845,4,1849,0.4794,0.00000000,11217,40,11257,6.4492,0.00000000
2025-05-20T01:30:36.487053,63,6.5,6.5,0.0000,7381,16,7397,2.7754,0.00000000,6.0,0.5000,2254,16,2270,2.5014,0.00000000,6.0,0.5000,580,3,583,0.3196,0.00000000,6.5,0.0000,1938,4,1942,1.0091,0.00000000,12153,39,12192,6.6054,0.00000000
2025-05-20T01:30:36.487236,87,7.5,7.0,0.5000,8400,16,8416,2.7275,0.00000000,6.5,1.0000,3257,16,3273,2.3477,0.00000000,6.5,1.0000,843,4,847,0.9998,0.00000000,7.0,0.5000,2190,4,2194,0.5311,0.00000000,14690,40,14730,6.6062,0.00000000
2025-05-20T01:30:36.508396,78,7.0,6.0,1.0000,7190,15,7205,3.2111,0.00000000,6.0,1.0000,2053,15,2068,1.4969,0.00000000,6.0,1.0000,544,4,548,1.4242,0.00000000,6.0,1.0000,1893,4,1897,0.4952,0.00000000,11680,38,11718,6.6273,0.00000000
2025-05-20T01:30:36.642594,13,7.0,6.0,1.0000,7354,16,7370,2.6364,0.00000000,5.5,1.5000,2214,16,2230,1.3524,0.00000000,6.0,1.0000,581,4,585,1.0462,0.00000000,6.0,1.0000,1928,4,1932,1.7257,0.00000000,12077,40,12117,6.7607,0.00000000
2025-05-20T01:30:36.661882,82,5.5,6.0,0.5000,7170,16,7186,3.8052,0.00000000,5.0,0.5000,2028,16,2044,1.2713,0.00000000,5.0,0.5000,535,4,539,1.1305,0.00000000,6.0,0.5000,1882,4,1886,0.5740,0.00000000,11615,40,11655,6.7809,0.00000000
2025-05-20T01:30:36.708338,97,7.0,6.5,0.5000,7522,15,7537,2.5265,0.00000000,6.0,1.0000,2389,16,2405,2.5243,0.00000000,6.0,1.0000,626,4,630,0.2286,0.00000000,6.5,0.5000,1973,4,1977,1.5473,0.00000000,12510,39,12549,6.8267,0.00000000
2025-05-20T01:30:37.014232,41,7.5,6.0,1.5000,7606,16,7622,4.2963,0.00000000,6.0,1.5000,2478,16,2494,1.6027,0.00000000,6.0,1.5000,647,4,651,0.9137,0.00000000,6.5,1.0000,1994,4,1998,0.3211,0.00000000,12725,40,12765,7.1339,0.00000000
2025-05-20T01:30:37.074629,57,6.0,6.0,0.0000,7641,16,7657,3.3146,0.00000000,6.0,0.0000,2504,16,2520,1.7668,0.00000000,6.0,0.0000,653,4,657,0.5559,0.00000000,6.0,0.0000,2003,4,2007,1.5569,0.00000000,12801,40,12841,7.1941,0.00000000
