Timestamp,EssayIndex,HumanScore,multi_ex_PredictedScore,multi_ex_err,multi_ex_PromptTokens,multi_ex_CompletionTokens,multi_ex_TotalTokens,multi_ex_Latency,multi_ex_EstimatedCost,multi_noex_PredictedScore,multi_noex_err,multi_noex_PromptTokens,multi_noex_CompletionTokens,multi_noex_TotalTokens,multi_noex_Latency,multi_noex_EstimatedCost,single_noex_PredictedScore,single_noex_err,single_noex_PromptTokens,single_noex_CompletionTokens,single_noex_TotalTokens,single_noex_Latency,single_noex_EstimatedCost,single_ex_PredictedScore,single_ex_err,single_ex_PromptTokens,single_ex_CompletionTokens,single_ex_TotalTokens,single_ex_Latency,single_ex_EstimatedCost,Essay_Agg_PromptTokens,Essay_Agg_CompletionTokens,Essay_Agg_TotalTokens,Essay_Agg_TotalLatency,Essay_Agg_EstimatedCost
2025-05-20T01:36:25.500656,81,6.5,7.0,0.5000,7813,16,7829,2.2859,0.00000000,6.0,0.5000,2638,16,2654,1.8099,0.00000000,6.0,0.5000,986,4,990,0.2927,0.00000000,6.5,0.0000,2357,3,2360,0.3475,0.00000000,13794,39,13833,4.7360,0.00000000
2025-05-20T01:36:25.506667,65,5.0,5.5,0.5000,7598,16,7614,2.4914,0.00000000,4.5,0.5000,2408,16,2424,1.6413,0.00000000,5.0,0.0000,929,4,933,0.2632,0.00000000,6.0,1.0000,2297,4,2301,0.3483,0.00000000,13232,40,13272,4.7442,0.00000000
2025-05-20T01:36:25.510430,87,7.5,7.0,0.5000,8836,16,8852,2.4849,0.00000000,7.0,0.5000,3648,16,3664,1.4395,0.00000000,6.5,1.0000,1239,4,1243,0.4527,0.00000000,6.5,1.0000,2605,4,2609,0.3700,0.00000000,16328,40,16368,4.7470,0.00000000
2025-05-20T01:36:25.553436,35,5.5,6.0,0.5000,7688,16,7704,2.5553,0.00000000,5.0,0.5000,2500,16,2516,1.3827,0.00000000,6.0,0.5000,952,4,956,0.4449,0.00000000,6.0,0.5000,2318,4,2322,0.4088,0.00000000,13458,40,13498,4.7917,0.00000000
2025-05-20T01:36:25.560324,72,5.5,5.0,0.5000,7544,16,7560,2.2895,0.00000000,4.5,1.0000,2356,16,2372,1.9723,0.00000000,5.0,0.5000,916,4,920,0.2978,0.00000000,6.0,0.5000,2282,4,2286,0.2336,0.00000000,13098,40,13138,4.7932,0.00000000
2025-05-20T01:36:25.735189,34,6.0,5.0,1.0000,7450,16,7466,2.2977,0.00000000,4.5,1.5000,2276,16,2292,1.4599,0.00000000,5.0,1.0000,895,4,899,0.6349,0.00000000,5.0,1.0000,2261,4,2265,0.5805,0.00000000,12882,40,12922,4.9730,0.00000000
2025-05-20T01:36:25.766863,31,5.5,6.0,0.5000,7476,16,7492,2.5873,0.00000000,5.0,0.5000,2285,16,2301,1.8574,0.00000000,6.0,0.5000,899,4,903,0.3309,0.00000000,6.0,0.5000,2265,4,2269,0.2284,0.00000000,12925,40,12965,5.0039,0.00000000
2025-05-20T01:36:26.067617,4,9.0,8.0,1.0000,7450,16,7466,2.0860,0.00000000,6.0,3.0000,2261,15,2276,2.3272,0.00000000,6.0,3.0000,895,4,899,0.5955,0.00000000,9.0,0.0000,2261,4,2265,0.2976,0.00000000,12867,39,12906,5.3062,0.00000000
2025-05-20T01:36:26.243709,73,5.5,5.5,0.0000,7778,16,7794,3.4259,0.00000000,5.0,0.5000,2602,16,2618,1.3164,0.00000000,5.0,0.5000,977,4,981,0.4743,0.00000000,6.0,0.5000,2343,4,2347,0.2645,0.00000000,13700,40,13740,5.4812,0.00000000
2025-05-20T01:36:26.376946,1,5.5,6.0,0.5000,7700,16,7716,2.6215,0.00000000,5.0,0.5000,2504,15,2519,1.7708,0.00000000,6.0,0.5000,955,4,959,0.6184,0.00000000,6.0,0.5000,2321,4,2325,0.6030,0.00000000,13480,39,13519,5.6137,0.00000000
2025-05-20T01:36:26.387766,69,7.0,Calculation Error,NaN,7736,16,7752,2.1407,0.00000000,Calculation Error,NaN,2553,16,2569,2.2957,0.00000000,6.0,1.0000,966,4,970,0.6154,0.00000000,5.0,2.0000,2324,4,2328,0.5735,0.00000000,13579,40,13619,5.6253,0.00000000
2025-05-20T01:36:26.422076,2,6.5,6.5,0.0000,7599,16,7615,2.2888,0.00000000,5.5,1.0000,2419,16,2435,2.6146,0.00000000,6.0,0.5000,928,3,931,0.3585,0.00000000,6.0,0.5000,2298,4,2302,0.3917,0.00000000,13244,39,13283,5.6536,0.00000000
2025-05-20T01:36:26.453448,60,7.0,6.0,1.0000,7808,16,7824,3.1386,0.00000000,6.0,1.0000,2619,16,2635,1.7815,0.00000000,6.0,1.0000,979,4,983,0.5123,0.00000000,6.0,1.0000,2348,4,2352,0.2589,0.00000000,13754,40,13794,5.6913,0.00000000
2025-05-20T01:36:26.466007,46,5.0,5.5,0.5000,7447,16,7463,3.7647,0.00000000,4.5,0.5000,2280,16,2296,1.3360,0.00000000,5.0,0.0000,897,4,901,0.3310,0.00000000,5.0,0.0000,2263,4,2267,0.2723,0.00000000,12887,40,12927,5.7040,0.00000000
2025-05-20T01:36:26.470811,52,5.0,6.0,1.0000,7572,16,7588,4.0843,0.00000000,4.0,1.0000,2386,16,2402,1.1563,0.00000000,5.0,0.0000,923,4,927,0.2260,0.00000000,6.0,1.0000,2289,4,2293,0.2419,0.00000000,13170,40,13210,5.7084,0.00000000
